Company,Symbol,Price,Market Cap,EV / Annualized Revenue,EV / Forward Revenue,Efficiency,Revenue Growth Rate,Gross Margin,LTM FCF Margin,SGA Margin,R&D Revenue,Sales Marketing Revenue,Rule of X
Adobe,ADBE,$483.31,"$216,523",10.3x,9.3x,42.6%,11.3%,88.6%,31.3%,34.3%,18.0%,27.1%,53.9%
Amplitude,AMPL,$9.43,"$1,149",2.9x,2.7x,19.3%,9.2%,74.0%,10.1%,74.8%,31.6%,55.0%,28.6%
AppFolio,APPF,$234.78,"$8,502",11.1x,9.4x,50.0%,37.7%,65.5%,12.3%,27.3%,22.1%,14.7%,87.7%
Asana,ASAN,$14.74,"$3,358",4.6x,4.1x,10.2%,13.9%,89.8%,-3.7%,81.0%,49.8%,60.1%,24.1%
Atlassian,TEAM,$174.18,"$45,339",9.3x,8.2x,56.7%,29.9%,82.1%,26.8%,34.6%,52.8%,21.5%,86.5%
AvePoint,AVPT,$9.38,"$1,738",5.1x,4.5x,38.1%,25.1%,72.6%,13.0%,62.3%,13.2%,40.2%,63.3%
AvidXchange,AVDX,$10.88,"$2,248",4.6x,4.0x,27.6%,21.6%,71.3%,6.0%,44.8%,25.1%,19.3%,49.2%
Bigcommerce,BIGC,$7.95,$614,2.2x,2.0x,8.6%,12.0%,77.1%,-3.3%,61.6%,26.0%,43.6%,20.6%
Bill.com,BILL,$52.61,"$5,531",3.8x,3.4x,40.1%,18.5%,86.5%,21.6%,64.2%,31.4%,43.7%,58.6%
BlackLine,BL,$50.62,"$3,129",5.2x,4.8x,37.0%,13.3%,75.2%,23.8%,57.8%,16.6%,39.8%,50.3%
Block,SQ,$66.62,"$41,107",1.7x,1.5x,20.0%,19.4%,35.5%,0.6%,17.6%,12.3%,8.6%,39.4%
Box,BOX,$25.88,"$3,752",3.6x,3.4x,32.6%,2.5%,76.1%,30.1%,46.0%,24.0%,33.6%,35.1%
Braze,BRZE,$41.12,"$4,154",7.2x,6.1x,32.2%,32.7%,67.2%,-0.6%,74.3%,25.4%,52.4%,64.9%
C3.ai,AI,$23.94,"$2,922",7.0x,5.9x,-11.1%,17.6%,57.8%,-28.7%,95.6%,67.6%,68.4%,6.5%
Clearwater Analytics,CWAN,$19.08,"$4,163",9.7x,8.2x,41.2%,21.4%,72.6%,19.8%,36.0%,34.2%,16.0%,62.6%
Cloudflare,NET,$73.62,"$25,016",16.3x,12.9x,41.2%,30.5%,77.5%,10.7%,64.4%,26.3%,47.4%,71.7%
Confluent,CFLT,$31.00,"$9,853",10.4x,8.4x,18.4%,24.6%,71.8%,-6.3%,77.8%,41.2%,60.9%,43.0%
Crowdstrike,CRWD,$342.35,"$82,804",23.7x,18.4x,61.9%,32.6%,75.3%,29.3%,50.2%,25.2%,37.3%,94.5%
Datadog,DDOG,$122.12,"$40,849",16.0x,13.2x,55.7%,26.9%,82.0%,28.9%,35.8%,43.2%,27.9%,82.6%
Definitive Health,DH,$5.59,$659,2.5x,2.3x,23.3%,7.2%,84.7%,16.1%,60.4%,16.7%,36.3%,30.6%
DigitalOcean,DOCN,$36.36,"$3,312",6.2x,5.5x,28.9%,11.9%,60.7%,17.0%,28.7%,19.1%,10.6%,40.8%
DocuSign,DOCU,$57.32,"$11,736",3.8x,3.6x,39.1%,8.0%,83.3%,31.1%,58.5%,19.5%,42.3%,47.1%
Dropbox,DBX,$23.17,"$7,651",3.4x,3.3x,34.5%,3.3%,83.2%,31.2%,27.4%,36.5%,18.1%,37.8%
Elastic,ESTC,$106.05,"$10,691",7.8x,6.7x,27.9%,19.4%,74.2%,8.5%,56.4%,26.8%,43.7%,47.4%
